Program ID of SkyWatcher Network training:23737

Program command: 
 ['TrainSkyWatcherPurePrediction.py', '/home/hxie1/temp_netParameters/OvarianCancer/SkyWatcher/PurePrediction', '/home/hxie1/data/OvarianCancerCT/Extract_ps2_2_5/images_npy', '/home/hxie1/data/OvarianCancerCT/patientResponseDict.json']

Major program changes: 
                      merge train and test imageDataMgr into one.
                      when epoch %5 ==0, do not use mixup.
                      Directly use 3D data for treatment prediction without segmentation. 
                      Number of filters in the first layer in encoder is 32.
                      Only epoch %5 ==0, print log
                      Do not use normalization in FC layers.
                      Use cropping VOI on the fly.
                       

Experiment setting for Image3d ROI to response:
Input CT data: 29*140*140  3D CT raw image ROI with spacing size(5*2*2)

Predictive Model: 1,  first 3-layer dense conv block with channel size 128.
                  2,  and 3 dense conv DownBB blocks,  each of which includes a stride 2 conv and 3-layers dense conv block; 
                  3,  and 3 fully connected layers  changes the tensor into size 2*1;
                  4,  final a softmax for binary classification;
                  Total network learning parameters are 8 million.
                  Network architecture is referred at https://github.com/Hui-Xie/OvarianCancer/blob/master/SkyWatcherModel.py

response Loss Function:   focus loss  with weight [3.3, 1.4] for [0,1] class separately, as [0,1] uneven distribution.

Data:   training data has 113 patients, and valdiation data has 27 patients with training/test rate 80/20.
        We randomize all data, and then assign same distrubtion of treat reponse 0,1 into to training and test data set.


Training strategy:  50% probability of data are mixed up with beta distribution with alpha =0.4, to feed into network for training. 
                    No other data augmentation, and no dropout.  

                    Learning Scheduler:  Reduce learning rate on  plateau, and learning rate patience is 30 epochs.                                

            

Program starting Time: 2019-06-24 14:09:46.965626
Info: this is the 0th fold leave for test in the 10-fold cross-validation.

Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer/SkyWatcher/PurePrediction

Now program get 169 input files.
Infor: In all data of 169 files, respone 0 has 51 files,
	  and response 1 has 118 files, where positive response rate = 0.6982248520710059 in full data
Infor: Validation Set has 16 files,and Training Set has 153 files
Infor: Validataion set has 11 1's, and positive response rate = 0.6875
Infor: trainning set has 107 1's, and positive response rate = 0.6993464052287581
Infor: the drop_last data in the dataMgr may lead the number of validation set and training set less than above number.
Infor: program is in multi samples running model.
TrainTestData Input:  batchSize=9, depth=29, height=140, width=140

Info: the size of bottle neck in the net = (512, 1, 7, 7)

Info: program uses Mixup with alpha=0.4, and mixupProb = 0.5.
Network trains from scratch.
Network has total 21,463,612 parameters.
Infor: Response Cross Entropy Weight: [3.3333333333333335, 1.4285714285714286] for label[0, 1]
Info: program will use 3 GPUs.
Loss Functions List: FocalCELoss with weight of 1; 

Hints: Optimal_Result = Yes = 1,  Optimal_Result = No = 0 

Epoch	TrLoss	Accura	TPR_r	TNR_r		TsLoss	Accura	TPR_r	TNR_r
0	0.3307	0.6993	1.0000	0.0000		0.1878	0.6875	1.0000	0.0000
5	0.1727	0.4967	0.4299	0.6522		0.1631	0.6250	0.4545	1.0000
10	0.1712	0.6732	0.7383	0.5217		0.1752	0.7500	1.0000	0.2000
15	0.1743	0.5425	0.5981	0.4130		0.1707	0.6875	0.9091	0.2000
20	0.1703	0.6209	0.6355	0.5870		0.1825	0.6250	0.8182	0.2000
25	0.1726	0.5686	0.6449	0.3913		0.1702	0.7500	0.8182	0.6000
30	0.1692	0.6013	0.5981	0.6087		0.1849	0.6875	0.9091	0.2000
35	0.1744	0.4314	0.3271	0.6739		0.1681	0.5000	0.2727	1.0000
40	0.1739	0.6732	0.8411	0.2826		0.1740	0.6250	0.8182	0.2000
45	0.1670	0.6667	0.7944	0.3696		0.1743	0.6250	0.9091	0.0000
50	0.1667	0.6144	0.6168	0.6087		0.2193	0.5625	0.8182	0.0000
55	0.1704	0.5359	0.5327	0.5435		0.1835	0.6250	0.9091	0.0000
60	0.1713	0.5098	0.4579	0.6304		0.1761	0.5000	0.5455	0.4000
65	0.1681	0.7124	0.8131	0.4783		0.1997	0.6250	0.9091	0.0000
70	0.1629	0.6993	0.7944	0.4783		0.2012	0.6875	1.0000	0.0000
75	0.1705	0.6078	0.6636	0.4783		0.1958	0.5000	0.7273	0.0000
80	0.1726	0.6340	0.7103	0.4565		0.1852	0.6250	0.9091	0.0000
85	0.1714	0.5621	0.5794	0.5217		0.2003	0.5000	0.7273	0.0000
90	0.1716	0.6209	0.6262	0.6087		0.1917	0.3125	0.3636	0.2000
95	0.1660	0.6405	0.7196	0.4565		0.1935	0.6250	0.8182	0.2000
100	0.1635	0.6471	0.6729	0.5870		0.1941	0.5000	0.7273	0.0000
105	0.1658	0.6078	0.6168	0.5870		0.1831	0.6250	0.8182	0.2000
110	0.1634	0.7124	0.8131	0.4783		0.2036	0.6875	0.9091	0.2000
115	0.1635	0.6667	0.6916	0.6087		0.2152	0.6875	1.0000	0.0000
120	0.1677	0.4837	0.3645	0.7609		0.2073	0.5000	0.5455	0.4000
125	0.1656	0.6209	0.6168	0.6304		0.2004	0.5625	0.8182	0.0000
130	0.1703	0.5817	0.6449	0.4348		0.2076	0.6250	0.8182	0.2000
135	0.1628	0.6601	0.7009	0.5652		0.2255	0.6250	0.9091	0.0000
140	0.1677	0.6013	0.5701	0.6739		0.1989	0.4375	0.6364	0.0000
145	0.1647	0.5294	0.4860	0.6304		0.2193	0.3750	0.3636	0.4000
150	0.1672	0.6340	0.6636	0.5652		0.1992	0.5625	0.8182	0.0000
155	0.1630	0.6013	0.6168	0.5652		0.2192	0.6250	0.8182	0.2000
