Program ID of SkyWatcher Network training:14042

Program command: 
 ['TrainSkyWatcherPurePrediction.py', '/home/hxie1/temp_netParameters/OvarianCancer/SkyWatcher', '/home/hxie1/data/OvarianCancerCT/Extract_ps2_2_5/Images_ROI_29_140_140', '/home/hxie1/data/OvarianCancerCT/patientResponseDict.json']

Major program changes: 
                      merge train and test dataMgr into one.
                      when epoch %5 ==0, do not use mixup.
                      Directly use 3D data for treatment prediction without segmentation. 
                      Number of filters in encoder is 256, GPU0 occupies memory of 12GB.
                      Only epoch %5 ==0, print log
                       

Experiment setting for Image3d ROI to response:
Input CT data: 29*140*140  3D CT raw image ROI with spacing size(5*2*2)

Predictive Model: 1,  first 3-layer dense conv block with channel size 128.
                  2,  and 3 dense conv DownBB blocks,  each of which includes a stride 2 conv and 3-layers dense conv block; 
                  3,  and 3 fully connected layers  changes the tensor into size 2*1;
                  4,  final a softmax for binary classification;
                  Total network learning parameters are 8 million.
                  Network architecture is referred at https://github.com/Hui-Xie/OvarianCancer/blob/master/SkyWatcherModel.py

response Loss Function:   focus loss  with weight [3.3, 1.4] for [0,1] class separately, as [0,1] uneven distribution.

Data:   training data has 113 patients, and valdiation data has 27 patients with training/test rate 80/20.
        We randomize all data, and then assign same distrubtion of treat reponse 0,1 into to training and test data set.


Training strategy:  50% probability of data are mixed up with beta distribution with alpha =0.4, to feed into network for training. 
                    No other data augmentation, and no dropout.  

                    Learning Scheduler:  Reduce learning rate on  plateau, and learning rate patience is 30 epochs.                                

            

Program starting Time: 2019-06-13 11:00:28.188692
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer/SkyWatcher

Now program get 140 input files.
Infor: In all data of 140 files, respone 0 has 41 files,
	  and response 1 has 99 files, where positive response rate = 0.7071428571428572 in full data
==== Regenerate training set and validation set by random with same distribution of 0 and 1 ==== 
Infor: Validation Set has 27 files,and Training Set has 113 files
Infor: In Validataion set, positive response rate = 0.7037037037037037
Infor: In trainning set, positive response rate = 0.7079646017699115
TrainTestData Input:  batchSize=4, depth=29, height=140, width=140

Info: the size of bottle neck in the net = (1, 7, 7)

Info: program uses Mixup with alpha=0.4, and mixupProb = 0.5.
Network trains from scratch.
Network has total 32,488,956 parameters.
Infor: Cross Entropy Weight: [3.3333333333333335, 1.4285714285714286] for label[0, 1]
Info: program will use 4 GPUs.
Loss Functions List: FocalCELoss with weight of 1; 

Hints: Optimal_Result = Yes = 1,  Optimal_Result = No = 0 

Epoch	TrLoss		Accura	TPR_r	TsLoss		Accura	TPR_r
0	0.1733		0.5000	0.0000	0.1739		0.0000	0.0000
5	0.1734		0.2500	0.0000	0.1731		0.5000	0.0000
10	0.1732		1.0000	1.0000	0.1735		0.2500	1.0000
15	0.1732		0.7500	1.0000	0.1735		0.5000	1.0000
20	0.1723		1.0000	1.0000	0.1731		0.7500	1.0000
25	0.1730		0.7500	1.0000	0.1751		0.2500	1.0000
30	0.1745		0.5000	1.0000	0.1745		0.5000	1.0000
35	0.1744		0.5000	1.0000	0.1730		0.7500	1.0000
40	0.1715		1.0000	1.0000	0.1715		1.0000	1.0000
45	0.1731		0.7500	1.0000	0.1731		0.7500	1.0000
50	0.1731		0.7500	1.0000	0.1746		0.0000	0.0000
55	0.1731		0.7500	1.0000	0.1730		0.7500	1.0000
60	0.1747		0.5000	1.0000	0.1696		1.0000	1.0000
65	0.1684		1.0000	1.0000	0.1681		1.0000	1.0000
70	0.1726		0.7500	1.0000	0.1669		1.0000	1.0000
75	0.1725		0.7500	1.0000	0.1725		0.7500	1.0000
80	0.1725		0.7500	1.0000	0.1725		0.7500	1.0000
85	0.1725		0.7500	1.0000	0.1765		0.5000	1.0000
90	0.1765		0.5000	1.0000	0.1658		1.0000	1.0000
95	0.1659		1.0000	1.0000	0.1725		0.7500	1.0000
100	0.1724		0.7500	1.0000	0.1724		0.7500	1.0000
105	0.1765		0.5000	1.0000	0.1725		0.7500	1.0000
110	0.1792		0.2500	1.0000	0.1658		1.0000	1.0000
115	0.1725		0.7500	1.0000	0.1766		0.5000	1.0000
120	0.1653		1.0000	1.0000	0.1724		0.7500	1.0000
125	0.1798		0.2500	1.0000	0.1724		0.7500	1.0000
130	0.1724		0.7500	1.0000	0.1724		0.7500	1.0000
135	0.1769		0.5000	1.0000	0.1724		0.7500	1.0000
140	0.1801		0.2500	1.0000	0.1724		0.7500	1.0000
145	0.1772		0.5000	1.0000	0.1640		1.0000	1.0000
150	0.1633		1.0000	1.0000	0.1722		0.7500	1.0000
155	0.1621		1.0000	1.0000	0.1721		0.7500	1.0000
160	0.1838		0.2500	1.0000	0.1599		1.0000	1.0000
165	0.1594		1.0000	1.0000	0.1592		1.0000	1.0000
170	0.1799		0.5000	1.0000	0.1584		1.0000	1.0000
175	0.1719		0.7500	1.0000	0.1583		1.0000	1.0000
180	0.1800		0.5000	1.0000	0.1719		0.7500	1.0000
185	0.1580		1.0000	1.0000	0.1719		0.7500	1.0000
190	0.1718		0.7500	1.0000	0.1868		0.2500	1.0000
